Maquina,Indice_Tiempo,Tiempo_Entre_Fallas
ACATIC,1,6.793827708
ACATIC,2,2.012378981
ACATIC,3,14.27098209
ACATIC,4,21.09305204
ACATIC,5,0.361226655
ACATIC,6,37.97643449
ACATIC,7,50.81484834
ACATIC,8,58.89309139
ACATIC,9,2.972818669
ACATIC,10,4.691479051
ACATIC,11,2.903250313
ACATIC,12,2.116435266
ACATIC,13,8.085326806
ACATIC,14,22.35134684
ACATIC,15,0.766258831
ACATIC,16,25.69442264
ACATIC,17,1.077259144
ACATIC,18,13.99729525
ACATIC,19,15.20652508
ACATIC,20,0.389011458
ACATIC,21,1.962068009
ACATIC,22,52.08551983
ACATIC,23,13.98059734
ACATIC,24,6.964841007
ACATIC,25,11.9200088
ACATIC,26,0.904675845
ACATIC,27,24.86143178
ACATIC,28,31.32312194
ACATIC,29,42.46716844
ADAMS,1,2.330269282
ADAMS,2,7.384906516
ADAMS,3,1.914929745
ADAMS,4,2.939224653
ADAMS,5,5.025644792
ADAMS,6,5.101286192
ADAMS,7,1.954296493
ADAMS,8,16.09459965
ADAMS,9,6.1359375
ADAMS,10,4.1267625
ADAMS,11,0.846354664
ADAMS,12,4.21052978
ADAMS,13,0.09995066
ADAMS,14,10.59754128
ADAMS,15,2.053176007
ADAMS,16,3.007393368
ADAMS,17,2.983533137
ADAMS,18,0.439477581
ADAMS,19,0.433324618
ADAMS,20,0.138326308
ADAMS,21,2.410229815
ADAMS,22,2.658805903
ADAMS,23,5.792149155
ADAMS,24,3.87965772
ADAMS,25,0.806493252
ADAMS,26,3.211371181
ADAMS,27,14.45934086
ADAMS,28,7.855462616
ADAMS,29,5.598809769
ADAMS,30,6.236071262
ADAMS,31,5.521195301
ADAMS,32,3.361905139
ADAMS,33,4.046506481
ADAMS,34,0.626004363
ADAMS,35,1.215859259
ADAMS,36,2.146651389
ADAMS,37,0.109576273
ADAMS,38,2.714880706
ADAMS,39,6.623586262
ADAMS,40,1.242664236
ADAMS,41,18.53623568
ADAMS,42,0.408714352
ADAMS,43,19.5903834
ADAMS,44,3.804425266
ADAMS,45,2.986946921
ADAMS,46,14.10114615
ADAMS,47,1.331245255
ADAMS,48,0.519364282
ADAMS,49,4.376743866
ADAMS,50,3.936285799
ADAMS,51,8.719564931
ADAMS,52,0.969893137
ADAMS,53,0.106288079
ADAMS,54,3.45068816
ADAMS,55,1.753985417
ADAMS,56,0.763868634
ADAMS,57,2.930604664
ADAMS,58,0.058668102
ADAMS,59,2.068468935
ADAMS,60,15.40719009
ADAMS,61,1.235578507
ADAMS,62,51.10619769
ADAMS,63,0.442969167
ADAMS,64,14.58238051
ADAMS,65,36.82960895
ADAMS,66,28.40506817
ADAMS,67,46.02335481
ADAMS,68,0.147553241
ADAMS,69,4.387041597
ADAMS,70,8.297803553
ADAMS,71,1.580603287
ADAMS,72,13.29289641
ADAMS,73,4.953337153
ADAMS,74,1.636178935
ADAMS,75,1.912121956
ADAMS,76,32.91736863
AGUASCALIENTES,1,8.944552315
AGUASCALIENTES,2,31.7967314
AGUASCALIENTES,3,8.036578785
AGUASCALIENTES,4,0.843064618
AGUASCALIENTES,5,17.87655706
AGUASCALIENTES,6,9.19081265
AGUASCALIENTES,7,27.72390362
AGUASCALIENTES,8,13.5202603
AGUASCALIENTES,9,2.972053819
AGUASCALIENTES,10,2.137796794
AGUASCALIENTES,11,10.01512966
AGUASCALIENTES,12,23.18971756
AGUASCALIENTES,13,11.59005159
AGUASCALIENTES,14,48.54771123
AGUASCALIENTES,15,22.5083725
AGUASCALIENTES,16,0.094796528
AGUASCALIENTES,17,5.686641204
AGUASCALIENTES,18,3.418635417
AGUASCALIENTES,19,26.38400355
AGUASCALIENTES,20,10.16987118
AGUASCALIENTES,21,59.48649271
AGUASCALIENTES,22,99.21277326
AGUASCALIENTES,23,38.31712481
AHUALULCO,1,90.09709745
AHUALULCO,2,15.76384694
AHUALULCO,3,0.178691435
AHUALULCO,4,20.15051586
AHUALULCO,5,2.043311609
AHUALULCO,6,18.81552204
AHUALULCO,7,22.26803811
AHUALULCO,8,11.11189595
AHUALULCO,9,49.48528201
